0.0,GENDATA,Data00000000,sensor-000,1024,
0.0,GENDATA,Data00000052,sensor-013,1024,
0.0,GENDATA,Data00000083,sensor-020,1024,
0.0,GENDATA,Data00000166,sensor-039,1024,
0.0,GENDATA,Data00000115,sensor-027,1024,
0.0,GENDATA,Data00000005,sensor-001,1024,
0.0,GENDATA,Data00000057,sensor-014,1024,
0.0,GENDATA,Data00000162,sensor-038,1024,
0.0,GENDATA,Data00000080,sensor-019,1024,
0.0,GENDATA,Data00000009,sensor-002,1024,
0.0,GENDATA,Data00000093,sensor-022,1024,
0.0,GENDATA,Data00000076,sensor-018,1024,
0.0,GENDATA,Data00000157,sensor-037,1024,
0.0,GENDATA,Data00000013,sensor-003,1024,
0.0,GENDATA,Data00000097,sensor-023,1024,
0.0,GENDATA,Data00000049,sensor-012,1024,
0.0,GENDATA,Data00000016,sensor-004,1024,
0.0,GENDATA,Data00000120,sensor-028,1024,
0.0,GENDATA,Data00000153,sensor-036,1024,
0.0,GENDATA,Data00000110,sensor-026,1024,
0.0,GENDATA,Data00000020,sensor-005,1024,
0.0,GENDATA,Data00000071,sensor-017,1024,
0.0,GENDATA,Data00000045,sensor-011,1024,
0.0,GENDATA,Data00000148,sensor-035,1024,
0.0,GENDATA,Data00000024,sensor-006,1024,
0.0,GENDATA,Data00000124,sensor-029,1024,
0.0,GENDATA,Data00000102,sensor-024,1024,
0.0,GENDATA,Data00000127,sensor-030,1024,
0.0,GENDATA,Data00000061,sensor-015,1024,
0.0,GENDATA,Data00000029,sensor-007,1024,
0.0,GENDATA,Data00000066,sensor-016,1024,
0.0,GENDATA,Data00000139,sensor-033,1024,
0.0,GENDATA,Data00000106,sensor-025,1024,
0.0,TRANSDATA,Data00000024,sensor-006,1024,station-000
0.0,GENDATA,Data00000135,sensor-032,1024,
0.0,GENDATA,Data00000088,sensor-021,1024,
0.0,GENDATA,Data00000036,sensor-009,1024,
0.0,GENDATA,Data00000131,sensor-031,1024,
0.0,GENDATA,Data00000040,sensor-010,1024,
0.0,GENDATA,Data00000144,sensor-034,1024,
0.0,TRANSDATA,Data00000076,sensor-018,1024,station-001
0.0,TRANSDATA,Data00000040,sensor-010,1024,station-001
0.0,TRANSDATA,Data00000093,sensor-022,1024,station-002
0.0,TRANSDATA,Data00000144,sensor-034,1024,station-003
